TI01,How many clubs are you allowed in your bag?,14,1,1
TI02,Which country is golf most popular in?,Ireland,10,5
TI03,What country is said to be the homeland of golf?,Scotland,2,2
TI04,How many holes are there on a standard golf course?,18,1,1
TI05,What country was Jon Rahm born in?,Spain,4,3
TI06,Fill in the blank: "Sir _ _ _ _ Faldo",Nick,2,2
TI07,Fill in the blank: "Augusta _ _ _ _ _ _ _ _ Golf Club",National,2,2
TI08,Fill in the blank: "TPC Saw _ _ _ _ _",grass,7,4
TI09,How many tournaments are played to determine the season winner on the PGA Tour?,4,3,2
TI10,Using pink and orange balls on white 'greens': in which country are the annual World Ice Golf Championships held?,Greenland,6,4
TI11,What is the womens version of the PGA Tour called,LPGA Tour,4,3
TI12,Which golfer has the nickname Long John?,John Daly,8,5
TI13,Which was the first major that Tiger Woods won in 1997?,Masters,2,2
TI14,What is the largest margin someone has won a major by?,15,7,4
TI15,With which sportswear brand did Rory McIlroy sign a 10-year deal in 2013?,Nike,5,3
TI16,What is the name of the tournament that pitches American golfers against European golfers?,Ryder Cup,2,2
TI17,What nationality is European Ryder Cup golfer Sergio Garcia?,Spanish,1,1
TI18,What nationality is former World Number One golfer Martin Kaymer?,German,4,3
TI19,Which 43 years old became the oldest U.S. Open champion in 1986?,Gary Player,10,5
TI20,Which English golfer also has his own clothing label?,Ian Poulter,9,5
TI22,dummy2,dummy2,1,2
TI23,dummy3,dummy3,1,2
