MC01,Which of these clubs will hit the furthest?,Driver,2,2,5 Wood,Gap Wedge,Driver,9 Iron
MC02,How many times has Tiger Woods hit a hole-in-one?,20,3,5,10,15,20,25
MC03,What is the most popular golf brand?,Titleist,1,1,Titleist,Callaway,Taylormade,Ping
MC04,How many rounds of golf do you have to play to get a handicap?,5,6,4,2,3,4,5
MC05,How many points does a birdie score in Stableford golf scoring?,2,2,2,1,2,3,4
MC06,How old was Tiger woods when he won his first Masters title?,21,2,2,20,21,22,24
MC07,What is the diameter of a regulation golf hole cup in inches?,4.25,4,3,4,4.25,4.50,4.75
MC08,The first 18 hole golf couse in the USA was developed by which state?,Illinois,4,3,California,Illinois,Virginia,Texas
MC09,Where is golfer Ernie Els from?,South Africa,7,4,Australia,USA,South Africa,Chile
MC10,Who coined the term 'caddy'?,Mary Queen of Scots,8,5,Richard III,Henry VIII,Elizabeth I,Mary Queen of Scots
MC11,Which Irish golfer has won The Open Championship in two consecutive years?,Padraig Harrington,3,5,Padraig Harrington,Shane Lowry,Eamonn Darcy,Des Smyth
MC12,Who was the money leader of the 2012 PGA Tour?,Rory McIllroy,3,4,Tiger Woods,Rory McIllroy,Jon Rahm,Bryson DeChambeau
MC13,Which sportswear manufacturer is Tiger Woods' major sponsor?,Nike,2,2,Callaway,Ping,Titleist,Nike
MC14,At which golf course was the British Open first played in 1860?,Prestwick,4,3,St Andrews,Prestwick,Augusta National,Wentworth
MC15,In yards how long is the terrifying 7th hole at Pebble Beach, where an overhit tee shot means you're in the Pacific Ocean?,106,3,3,92,106,156
MC16,In golf what does a stimpmeter measure?,green speed,4,2,Wind speed,clubhead speed,ball spin rate,green speed
MC17,In golf what is a breakaway?,A ball designed to shatter,10,5,A green with a slope > 20�,A ball designed to shatter,A player winning by > 10 strokes,An oversized club shaft
MC18,In golf what is the penalty for playing with your opponent's ball?,2 strokes,1,1,1 stroke,2 strokes,3 strokes,4 strokes
MC19,What is the term for a high shot usually hit over hazards?,Flop,2,2,Punch,Jab,Flop,Ping
MC20,What is the term for when the club hits the ground before the ball?,Punch,2,2,Flop,Ping,Jab,Punch
